pair_id,real_filename,synth_filename,pair_image
0,2025.2.11- 3376 Las Huertas - 2.12.25_page2_excerpt1,synth_000067.png,000_2025_2_11-_3376_Las_Huertas_-_2_12_25_page2_excerpt1.png
1,2025.2.11- 3376 Las Huertas - 2.12.25_page3_excerpt2,synth_000304.png,001_2025_2_11-_3376_Las_Huertas_-_2_12_25_page3_excerpt2.png
2,2025.2.11- 3376 Las Huertas - 2.12.25_page4_excerpt3,synth_000125.png,002_2025_2_11-_3376_Las_Huertas_-_2_12_25_page4_excerpt3.png
3,2025.2.11- 3376 Las Huertas - 2.12.25_page4_excerpt4,synth_000355.png,003_2025_2_11-_3376_Las_Huertas_-_2_12_25_page4_excerpt4.png
4,2025.2.11- 3376 Las Huertas - 2.12.25_page5_excerpt5,synth_000438.png,004_2025_2_11-_3376_Las_Huertas_-_2_12_25_page5_excerpt5.png
5,2025.2.11- 3376 Las Huertas - 2.12.25_page5_excerpt6,synth_000378.png,005_2025_2_11-_3376_Las_Huertas_-_2_12_25_page5_excerpt6.png
6,2025.2.11- 3376 Las Huertas - 2.12.25_page9_excerpt7,synth_000479.png,006_2025_2_11-_3376_Las_Huertas_-_2_12_25_page9_excerpt7.png
7,2166 Old Topanga Canyon Rd-06-01-25_page4_excerpt1,synth_000284.png,007_2166_Old_Topanga_Canyon_Rd-06-01-25_page4_excerpt1.png
8,2166 Old Topanga Canyon Rd-06-01-25_page7_excerpt1,synth_000135.png,008_2166_Old_Topanga_Canyon_Rd-06-01-25_page7_excerpt1.png
9,49th plans_page10_excerpt1,synth_000408.png,009_49th_plans_page10_excerpt1.png
10,49th plans_page10_excerpt2,synth_000303.png,010_49th_plans_page10_excerpt2.png
11,Ceilhunt Full Plan Set_page11_excerpt1,synth_000195.png,011_Ceilhunt_Full_Plan_Set_page11_excerpt1.png
12,Ceilhunt Full Plan Set_page12_excerpt2,synth_000081.png,012_Ceilhunt_Full_Plan_Set_page12_excerpt2.png
13,Ceilhunt Full Plan Set_page13_excerpt3,synth_000427.png,013_Ceilhunt_Full_Plan_Set_page13_excerpt3.png
14,Ceilhunt Full Plan Set_page13_excerpt4,synth_000136.png,014_Ceilhunt_Full_Plan_Set_page13_excerpt4.png
15,Construction Documents_page11_excerpt1,synth_000412.png,015_Construction_Documents_page11_excerpt1.png
16,Construction Documents_page14_excerpt2,synth_000180.png,016_Construction_Documents_page14_excerpt2.png
17,"Marked-up Plans - W Felton - Structure, Archi_page3_excerpt1",synth_000085.png,017_Marked-up_Plans_-_W_Felton_-_Structure_Archi_page3_excerpt1.png
18,"Marked-up Plans - W Felton - Structure, Archi_page4_excerpt2",synth_000339.png,018_Marked-up_Plans_-_W_Felton_-_Structure_Archi_page4_excerpt2.png
19,"Marked-up Plans - W Felton - Structure, Archi_page5_excerpt3",synth_000166.png,019_Marked-up_Plans_-_W_Felton_-_Structure_Archi_page5_excerpt3.png
20,Markups - 1075 E Walnut Avenue_page4_excerpt1,synth_000286.png,020_Markups_-_1075_E_Walnut_Avenue_page4_excerpt1.png
21,Markups - 1075 E Walnut Avenue_page5_excerpt2,synth_000309.png,021_Markups_-_1075_E_Walnut_Avenue_page5_excerpt2.png
22,Markups - 1075 E Walnut Avenue_page6_excerpt3,synth_000214.png,022_Markups_-_1075_E_Walnut_Avenue_page6_excerpt3.png
23,Markups - 1075 E Walnut Avenue_page7_excerpt4,synth_000490.png,023_Markups_-_1075_E_Walnut_Avenue_page7_excerpt4.png
24,"Markups - 139 Maple Rd, Blakeslee, PA 18610 (5)_page2_excerpt1",synth_000252.png,024_Markups_-_139_Maple_Rd_Blakeslee_PA_18610_5_page2_excerpt1.png
25,"Markups - 139 Maple Rd, Blakeslee, PA 18610 (5)_page8_excerpt2",synth_000027.png,025_Markups_-_139_Maple_Rd_Blakeslee_PA_18610_5_page8_excerpt2.png
26,"Markups - 139 Maple Rd, Blakeslee, PA 18610 (5)_page8_excerpt3",synth_000040.png,026_Markups_-_139_Maple_Rd_Blakeslee_PA_18610_5_page8_excerpt3.png
27,"Markups - 139 Maple Rd, Blakeslee, PA 18610 (5)_page8_excerpt4",synth_000245.png,027_Markups_-_139_Maple_Rd_Blakeslee_PA_18610_5_page8_excerpt4.png
